    ,symbol  ,name　　　　,moneyincomeratio      ,roe                   ,assetsturnratio       ,incomegrowthratio     ,goodwillequityratio   ,grossprofitmarginratio
1345,002910  ,庄园牧场　　　　,1    115.93           ,0    10.29            ,0    45.18            ,0    16.43            ,1    0.99             ,1    32.90            
1346,002911  ,佛燃股份　　　　,1    112.49           ,0    21.59            ,1    91.79            ,0    31.47            ,1    1.30             ,1    20.58            
1347,002912  ,中新赛克　　　　,0    122.12           ,1    20.44            ,0    52.07            ,0    81.94            ,1    0.00             ,1    80.36            
1348,002913  ,奥士康　　　　　,0    83.87            ,0    24.06            ,1    93.81            ,0    33.38            ,1    0.00             ,1    26.86            
1349,002915  ,中欣氟材　　　　,0    60.16            ,0    14.59            ,1    73.41            ,0    42.86            ,1    0.00             ,1    27.59            
1350,002916  ,深南电路　　　　,0    92.58            ,0    18.47            ,1    87.59            ,1    51.05            ,1    0.00             ,1    21.59            
1351,002917  ,金奥博　　　　　,0    86.32            ,0    26.91            ,1    92.25            ,0    -4.99            ,1    2.99             ,1    34.44            
1352,002918  ,蒙娜丽莎　　　　,0    94.23            ,1    26.54            ,1    89.76            ,0    21.72            ,1    0.00             ,1    34.41            
1353,002919  ,名臣健康　　　　,1    114.87           ,0    16.09            ,1    120.57           ,0    -14.84           ,1    0.00             ,1    37.15            
1354,002920  ,德赛西威　　　　,0    97.15            ,0    37.38            ,1    128.43           ,0    -20.08           ,1    0.00             ,1    25.82            
1355,002921  ,联诚精密　　　　,0    97.76            ,0    11.38            ,1    63.87            ,0    18.89            ,1    0.00             ,1    27.07            
1356,002922  ,伊戈尔　　　　　,0    97.08            ,0    16.71            ,1    102.11           ,0    9.78             ,1    0.02             ,1    26.53            
1357,002923  ,润都股份　　　　,0    95.69            ,0    21.43            ,1    127.75           ,1    53.80            ,1    0.25             ,1    66.59            
1358,002925  ,盈趣科技　　　　,0    93.63            ,1    58.58            ,1    149.80           ,0    27.80            ,1    1.30             ,1    39.57            
1359,002926  ,华西证券　　　　,1    0.00             ,0    2.61             ,1    0.00             ,0    26.21            ,1    0.12             ,1    54.89            
1360,002927  ,泰永长征　　　　,0    96.35            ,0    21.73            ,1    80.44            ,0    27.84            ,1    0.00             ,1    56.23            
1361,002928  ,华夏航空　　　　,1    106.41           ,0    47.81            ,1    72.62            ,1    45.87            ,1    0.00             ,1    23.53            
1362,002929  ,润建股份　　　　,0    94.64            ,0    21.71            ,1    142.49           ,0    31.96            ,1    0.47             ,1    24.60            
1363,002930  ,宏川智慧　　　　,1    104.81           ,0    8.95             ,0    16.28            ,0    21.62            ,0    21.09            ,1    57.70            
1364,002931  ,锋龙股份　　　　,0    99.69            ,0    29.79            ,1    87.80            ,0    16.80            ,1    0.00             ,1    35.41            
1365,002932  ,明德生物　　　　,1    104.10           ,1    40.81            ,1    86.49            ,0    17.50            ,1    0.00             ,1    79.11            
1366,002933  ,新兴装备　　　　,0    70.20            ,0    13.40            ,0    28.69            ,0    19.82            ,1    0.00             ,1    57.69            
1367,002935  ,天奥电子　　　　,0    95.72            ,0    16.99            ,1    88.22            ,0    12.66            ,1    0.00             ,1    31.03            
1368,002936  ,郑州银行　　　　,1    0.00             ,0    19.76            ,1    0.00             ,0    17.35            ,1    0.00             ,1    54.77            
1369,002937  ,兴瑞科技　　　　,0    100.22           ,0    19.39            ,1    124.65           ,0    15.99            ,1    0.00             ,1    25.40            
1370,002938  ,鹏鼎控股　　　　,0    100.36           ,0    16.32            ,1    102.48           ,0    17.97            ,1    0.18             ,1    19.15            
1371,002939  ,长城证券　　　　,1    0.00             ,0    2.73             ,1    0.00             ,0    19.28            ,1    0.09             ,1    37.32            
