,ts_code,symbol,name,area,industry,list_date,pe,pe_ttm,pb,total_mv,circ_mv
3311,603256.SH,603256,宏和科技,上海,玻璃,20190719,79.5676,114.8601,9.6345,1350934.2,135124.2
3312,603258.SH,603258,电魂网络,浙江,互联网,20161026,41.6666,29.6217,2.9781,540307.287,532080.0
3313,603259.SH,603259,药明康德,江苏,化学制药,20180508,68.6083,73.948,9.0069,15509066.0186,9527544.4739
3314,603260.SH,603260,合盛硅业,浙江,化工原料,20171030,9.4964,18.76,3.2284,2663920.0,1037107.0167
3315,603266.SH,603266,天龙股份,浙江,塑料,20170110,33.1792,35.9729,2.5347,222877.0421,54978.0
3316,603267.SH,603267,鸿远电子,北京,元器件,20190515,35.9585,30.0866,3.8652,785199.66,196323.66
3317,603268.SH,603268,松发股份,广东,陶瓷,20150319,51.4486,62.1722,3.0127,193579.1592,193579.1592
3318,603269.SH,603269,海鸥股份,江苏,机械基件,20170517,38.8064,38.4239,1.9487,128789.76,83205.76
3319,603277.SH,603277,银都股份,浙江,专用机械,20170911,16.392,14.4855,2.1007,407095.245,155301.228
3320,603278.SH,603278,大业股份,山东,钢加工,20171113,13.4121,16.0425,1.7318,275431.41,113880.566
3321,603279.SH,603279,景津环保,山东,环境保护,20190729,34.5422,26.8709,3.3142,844473.885,85495.5
3322,603283.SH,603283,赛腾股份,江苏,专用机械,20171225,40.8371,36.3858,5.27,494284.5222,119401.3603
3323,603286.SH,603286,日盈电子,江苏,汽车配件,20170627,59.8134,60.045,2.9803,132114.0,68626.5
3324,603288.SH,603288,海天味业,广东,食品,20140211,70.4106,60.6325,20.4017,30732903.4585,30732903.4585
3325,603289.SH,603289,泰瑞机器,浙江,专用机械,20171031,25.6527,21.5587,2.5771,257995.6,131797.0542
3326,603297.SH,603297,永新光学,浙江,电器仪表,20180910,29.7103,27.9715,3.3206,361998.0,169334.0885
3327,603298.SH,603298,杭叉集团,浙江,专用机械,20161227,14.8331,13.6317,1.9538,810698.9758,223467.1871
3328,603299.SH,603299,苏盐井神,江苏,化工原料,20151231,36.9483,20.3635,1.3737,535254.2893,386013.6
3329,603300.SH,603300,华铁应急,浙江,钢加工,20150529,,30.7243,2.3601,405874.8703,392637.1353
3330,603301.SH,603301,振德医疗,浙江,医疗保健,20180412,22.3112,20.7412,2.4487,290500.0,113098.9125
3331,603303.SH,603303,得邦照明,浙江,家用电器,20170330,20.4996,18.2527,1.9623,507223.9806,125335.9806
